iter	Passed	Remaining
0	143	14225
1	145	7125
2	147	4755
3	148	3561
4	150	2851
5	151	2377
6	153	2037
7	154	1782
8	156	1582
9	158	1422
10	159	1288
11	160	1177
12	161	1083
13	162	1000
14	163	928
15	164	865
16	165	809
17	166	759
18	167	713
19	167	671
20	168	634
21	169	600
22	170	569
23	170	541
24	171	514
25	172	490
26	173	467
27	173	446
28	174	427
29	175	409
30	176	391
31	176	375
32	177	360
33	178	345
34	178	332
35	179	319
36	180	306
37	180	295
38	181	284
39	182	273
40	183	263
41	183	253
42	184	244
43	185	235
44	185	227
45	186	219
46	187	211
47	188	203
48	188	196
49	189	189
50	190	182
51	190	176
52	191	169
53	192	163
54	192	157
55	193	152
56	194	146
57	194	141
58	195	135
59	196	130
60	197	126
61	197	121
62	198	116
63	199	112
64	200	107
65	200	103
66	201	99
67	202	95
68	202	91
69	203	87
70	204	83
71	204	79
72	205	76
73	206	72
74	207	69
75	207	65
76	208	62
77	209	59
78	209	55
79	210	52
80	211	49
81	212	46
82	212	43
83	213	40
84	214	37
85	215	35
86	215	32
87	216	29
88	217	26
89	217	24
90	218	21
91	219	19
92	219	16
93	220	14
94	221	11
95	221	9
96	222	6
97	223	4
98	223	2
99	224	0
