iter	Passed	Remaining
0	156	156149
1	156	78291
2	157	52446
3	158	39428
4	158	31624
5	159	26442
6	160	22822
7	161	20016
8	161	17827
9	162	16083
10	163	14663
11	164	13538
12	166	12616
13	167	11828
14	169	11143
15	171	10531
16	173	10014
17	174	9541
18	176	9114
19	178	8728
20	179	8375
21	181	8047
22	182	7744
23	183	7464
24	184	7207
25	186	6981
26	187	6766
27	189	6570
28	190	6380
29	191	6198
30	192	6026
31	193	5863
32	194	5711
33	195	5558
34	196	5409
35	196	5270
36	197	5137
37	198	5024
38	200	4931
39	200	4816
40	201	4705
41	201	4602
42	202	4503
43	202	4409
44	203	4318
45	204	4232
46	204	4150
47	205	4069
48	205	3993
49	206	3919
50	206	3847
51	207	3779
52	207	3713
53	208	3649
54	208	3588
55	209	3529
56	209	3471
57	210	3415
58	210	3362
59	211	3309
60	211	3259
61	212	3210
62	212	3163
63	213	3117
64	213	3076
65	214	3036
66	215	2995
67	215	2955
68	216	2916
69	216	2878
70	217	2841
71	217	2805
72	218	2770
73	218	2736
74	219	2703
75	219	2670
76	220	2638
77	220	2607
78	221	2578
79	221	2549
80	222	2520
81	222	2492
82	222	2462
83	223	2436
84	223	2410
85	224	2384
86	224	2360
87	225	2336
88	225	2312
89	226	2288
90	226	2265
91	227	2244
92	228	2227
93	229	2209
94	229	2188
95	230	2168
96	230	2149
97	231	2130
98	231	2111
99	232	2092
100	232	2073
101	233	2055
102	233	2037
103	234	2022
104	235	2006
105	235	1988
106	236	1972
107	236	1955
108	237	1939
109	237	1923
110	238	1908
111	238	1893
112	239	1878
113	239	1863
114	240	1849
115	240	1834
116	241	1820
117	241	1806
118	242	1793
119	243	1782
120	243	1771
121	244	1758
122	244	1745
123	245	1733
124	245	1720
125	246	1708
126	246	1696
127	247	1684
128	247	1673
129	248	1661
130	248	1650
131	249	1639
132	249	1628
133	250	1618
134	250	1607
135	251	1597
136	252	1587
137	252	1577
138	253	1567
139	253	1557
140	254	1547
141	254	1537
142	254	1527
143	255	1518
144	255	1509
145	256	1500
146	257	1493
147	258	1487
148	258	1478
149	259	1469
150	259	1461
151	260	1452
152	260	1444
153	261	1435
154	261	1427
155	262	1419
156	262	1411
157	263	1403
158	263	1395
159	264	1387
160	264	1379
161	265	1372
162	265	1364
163	266	1357
164	266	1350
165	267	1342
166	267	1335
167	268	1328
168	268	1321
169	269	1315
170	269	1308
171	270	1302
172	271	1296
173	271	1289
174	272	1285
175	273	1279
176	273	1273
177	274	1266
178	274	1260
179	275	1254
180	275	1248
181	276	1242
182	276	1236
183	277	1230
184	278	1224
185	278	1219
186	279	1213
187	279	1208
188	280	1202
189	280	1197
190	281	1192
191	282	1187
192	282	1182
193	283	1178
194	284	1172
195	285	1169
196	285	1164
197	286	1159
198	287	1155
199	287	1151
200	288	1147
201	289	1143
202	290	1138
203	290	1133
204	291	1129
205	291	1124
206	292	1119
207	292	1115
208	293	1110
209	294	1106
210	294	1101
211	295	1097
212	295	1092
213	296	1088
214	297	1084
215	297	1080
216	298	1077
217	299	1073
218	299	1069
219	300	1065
220	301	1061
221	302	1059
222	302	1055
223	303	1051
224	304	1047
225	304	1043
226	305	1039
227	305	1035
228	306	1032
229	307	1028
230	307	1024
231	308	1020
232	308	1016
233	309	1012
234	309	1008
235	310	1004
236	310	1001
237	311	997
238	312	993
239	312	990
240	313	986
241	313	983
242	314	979
243	315	976
244	315	973
245	316	970
246	317	967
247	317	964
248	318	960
249	319	957
250	319	953
251	320	950
252	320	946
253	321	943
254	321	939
255	322	936
256	322	933
257	323	930
258	324	927
259	324	924
260	325	920
261	325	917
262	326	914
263	326	911
264	327	908
265	328	905
266	328	902
267	329	898
268	329	895
269	330	892
270	330	889
271	331	887
272	332	885
273	332	882
274	333	879
275	333	876
276	334	873
277	335	870
278	335	867
279	336	864
280	336	861
281	337	858
282	337	855
283	338	852
284	338	850
285	339	847
286	339	844
287	340	841
288	341	839
289	341	836
290	342	833
291	342	831
292	343	828
293	343	825
294	344	823
295	345	820
296	345	818
297	346	816
298	347	813
299	347	811
300	348	808
301	348	806
302	349	803
303	349	801
304	350	798
305	351	796
306	351	793
307	352	791
308	352	788
309	353	786
310	353	784
311	354	781
312	355	779
313	355	776
314	356	774
315	356	772
316	357	770
317	358	767
318	358	765
319	359	763
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	750
326	363	747
327	363	745
328	364	743
329	365	741
330	365	739
331	366	736
332	366	734
333	367	732
334	367	730
335	368	728
336	369	726
337	369	724
338	370	722
339	371	720
340	371	718
341	372	716
342	372	714
343	373	712
344	373	710
345	374	707
346	375	705
347	376	705
348	377	703
349	377	701
350	378	699
351	378	697
352	379	695
353	380	693
354	380	691
355	381	689
356	381	687
357	382	685
358	382	683
359	383	681
360	384	679
361	384	677
362	385	675
363	385	673
364	386	671
365	386	670
366	387	668
367	388	666
368	388	664
369	389	662
370	389	660
371	390	658
372	391	657
373	391	655
374	392	654
375	393	652
376	393	650
377	394	648
378	394	646
379	395	644
380	395	642
381	396	641
382	396	639
383	397	637
384	398	635
385	398	634
386	399	632
387	399	630
388	400	628
389	400	627
390	401	625
391	402	623
392	402	621
393	403	620
394	403	618
395	404	616
396	404	614
397	405	613
398	406	612
399	407	610
400	407	608
401	408	607
402	408	605
403	409	603
404	409	602
